iter	RMSE
0	0.3275692413
1	0.3265999914
2	0.3256758673
3	0.3247912781
4	0.3238176165
5	0.3228612982
6	0.3219119213
7	0.3209854429
8	0.3200518456
9	0.3190417677
10	0.3180573905
11	0.3171173387
12	0.316149801
13	0.3152774889
14	0.314598323
15	0.3137428677
16	0.3128615798
17	0.3119250006
18	0.3111696093
19	0.3102038549
20	0.3094194748
21	0.308565386
22	0.3077182355
23	0.3069289594
24	0.3059774145
25	0.3051790295
26	0.3043045859
27	0.3034928921
28	0.3025388263
29	0.3015957441
30	0.3007733276
31	0.2999439597
32	0.2991023226
33	0.2982435707
34	0.2974358776
35	0.2965885445
36	0.2957375002
37	0.2949346044
38	0.2940749686
39	0.2932832618
40	0.2924542998
41	0.2917040252
42	0.2909114758
43	0.2901061027
44	0.2892992746
45	0.2884853377
46	0.2877810675
47	0.286995473
48	0.2861369901
49	0.2854523362
50	0.2846973264
51	0.283923142
52	0.2831650673
53	0.2823873269
54	0.2816805415
55	0.2810101281
56	0.280279955
57	0.2794832911
58	0.2787985494
59	0.2781224814
60	0.2772862652
61	0.2766114962
62	0.2759090742
63	0.2751798844
64	0.2743930559
65	0.2735817228
66	0.2728866677
67	0.2722059595
68	0.2715219252
69	0.2707547252
70	0.2700273389
71	0.2694056761
72	0.2687014028
73	0.2680208781
74	0.2672820826
75	0.266621062
76	0.2659763491
77	0.2653359296
78	0.2647486882
79	0.2641068822
80	0.2634613218
81	0.2628374732
82	0.2621777401
83	0.2615579845
84	0.2609112395
85	0.260223886
86	0.2595377431
87	0.2589139445
88	0.2582408609
89	0.2576495567
90	0.2569911056
91	0.2563079921
92	0.2557862706
93	0.2550418757
94	0.2543596486
95	0.2537244523
96	0.253182175
97	0.2525383212
98	0.2519454661
99	0.2512416208
100	0.2506900625
101	0.2500509278
102	0.2494964567
103	0.2488099526
104	0.2481792704
105	0.2476232777
106	0.2470569041
107	0.2465030209
108	0.245900893
109	0.2452523323
110	0.2446274323
111	0.2439469184
112	0.2433376868
113	0.2427922235
114	0.2421589148
115	0.241584945
116	0.2410164722
117	0.2404376166
118	0.239884222
119	0.2393345845
120	0.2387093789
121	0.2381748237
122	0.237689088
123	0.2371448531
124	0.2365608813
125	0.235983437
126	0.2354350776
127	0.2349805695
128	0.2345096955
129	0.2339985133
130	0.2334904358
131	0.2329771105
132	0.232469615
133	0.2319519531
134	0.2313418527
135	0.2309271631
136	0.2304373602
137	0.2299347026
138	0.2294103771
139	0.2288531515
140	0.2282770046
141	0.2278077798
142	0.2272889669
143	0.2268234403
144	0.226305492
145	0.2257421613
146	0.225278116
147	0.2248634013
148	0.224454802
149	0.2239751796
150	0.2235121325
151	0.2229694758
152	0.2225268146
153	0.2221465008
154	0.2216605948
155	0.22122573
156	0.2207311251
157	0.2202974722
158	0.2198653577
159	0.21937216
160	0.2189088297
161	0.2184829056
162	0.2180467902
163	0.2176370076
164	0.217161739
165	0.2167522316
166	0.2163351049
167	0.2158734546
168	0.2153753346
169	0.2148479121
170	0.2144008186
171	0.2139837938
172	0.2136463827
173	0.213230651
174	0.2126378905
175	0.2120689299
176	0.211605612
177	0.2111753261
178	0.2106909359
179	0.210310246
180	0.2099263018
181	0.2095018528
182	0.2090558007
183	0.2085566477
184	0.2081810334
185	0.2077589443
186	0.2074364987
187	0.2070228613
188	0.206612194
189	0.2061833348
190	0.2057552458
191	0.2053472319
192	0.2048893022
193	0.204503818
194	0.2040443971
195	0.2037009246
196	0.2033114571
197	0.2029288826
198	0.2025249013
199	0.2020731165
200	0.2017216965
201	0.2013192114
202	0.2008828879
203	0.2005045233
204	0.2001144048
205	0.1997206485
206	0.1992629772
207	0.1989274044
208	0.198569458
209	0.1982630217
210	0.1978823564
211	0.197532727
212	0.1972385075
213	0.1968860336
214	0.1965845003
215	0.1962645977
216	0.1958782768
217	0.1955280823
218	0.1951716114
219	0.1948374842
220	0.1945023403
221	0.1941766654
222	0.193878165
223	0.1934820859
224	0.1931422374
225	0.1927767856
226	0.1925063679
227	0.1921328238
228	0.1918151999
229	0.1913745213
230	0.1910334606
231	0.1907201565
232	0.1903608661
233	0.1900691571
234	0.1897712805
235	0.1894370776
236	0.1890725057
237	0.1887583698
238	0.1884143139
239	0.1881275552
240	0.1877745954
241	0.1874530385
242	0.1870838543
243	0.1868083954
244	0.1864822928
245	0.1862208611
246	0.1859072312
247	0.1855022506
248	0.1852280279
249	0.1848484023
250	0.1844636593
251	0.1840912949
252	0.1837689568
253	0.1834770476
254	0.1831839682
255	0.1828759531
256	0.1824901534
257	0.1822062949
258	0.1819002574
259	0.1816271081
260	0.1813476282
261	0.1810876129
262	0.1807579824
263	0.1804564691
264	0.1801478071
265	0.179898306
266	0.1796272432
267	0.1793610532
268	0.1790548429
269	0.1787427727
270	0.1784627915
271	0.1781619015
272	0.1778501799
273	0.1775882408
274	0.1773142217
275	0.1770312652
276	0.1766533927
277	0.1764199906
278	0.1760447259
279	0.1757727189
280	0.1755430061
281	0.1752475762
282	0.1749495469
283	0.1746519286
284	0.1744128836
285	0.1740379571
286	0.1738055672
287	0.1735282078
288	0.1732197289
289	0.1729163485
290	0.172585045
291	0.1723242893
292	0.1720268081
293	0.1718068645
294	0.171460314
295	0.1712575333
296	0.1710755229
297	0.1708432151
298	0.1705782929
299	0.1703345995
300	0.1700879318
301	0.1697860327
302	0.1695125093
303	0.1692204156
304	0.1689541242
305	0.168691521
306	0.1684456667
307	0.1682169238
308	0.1679582766
309	0.1677296269
310	0.1673650024
311	0.1671554032
312	0.1668736582
313	0.1666523243
314	0.1663278883
315	0.1661023911
316	0.1658968896
317	0.16561655
318	0.1653084569
319	0.165105068
320	0.1649423949
321	0.1647090243
322	0.1644776076
323	0.1642567544
324	0.1640235501
325	0.1638377786
326	0.1636187271
327	0.1633788611
