iter	Passed	Remaining
0	1	7292
1	2	6131
2	3	6388
3	4	6005
4	4	5919
5	5	5825
6	6	5737
7	7	5659
8	8	5589
9	9	5523
10	10	5456
11	10	5378
12	11	5329
13	12	5414
14	13	5571
15	14	5564
16	15	5531
17	16	5509
18	17	5486
19	18	5469
20	19	5452
21	19	5417
22	20	5372
23	21	5329
24	22	5291
25	22	5277
26	23	5261
27	24	5243
28	25	5230
29	26	5232
30	27	5354
31	29	5441
32	30	5448
33	31	5443
34	31	5416
35	32	5429
36	33	5452
37	34	5491
38	36	5516
39	37	5523
40	38	5531
41	39	5543
42	41	5694
43	42	5718
44	43	5719
45	44	5706
46	44	5692
47	45	5676
48	46	5661
49	47	5647
50	48	5628
51	49	5611
52	49	5595
53	50	5583
54	51	5580
55	53	5648
56	54	5646
57	55	5640
58	56	5649
59	57	5647
60	58	5648
61	58	5650
62	60	5676
63	61	5670
64	62	5675
65	63	5679
66	64	5686
67	65	5699
68	66	5723
69	68	5765
70	69	5813
71	70	5815
72	71	5799
73	72	5789
74	73	5790
75	74	5781
76	74	5768
77	75	5753
78	76	5743
79	77	5728
80	78	5720
81	79	5709
82	79	5696
83	80	5686
84	81	5678
85	82	5668
86	83	5675
87	84	5669
88	85	5659
89	86	5655
90	86	5646
91	87	5635
92	88	5638
93	89	5630
94	90	5623
95	91	5620
96	92	5611
97	92	5600
98	93	5590
99	94	5588
100	95	5580
101	96	5577
102	99	5689
103	100	5687
104	101	5683
105	101	5670
106	102	5659
107	103	5660
108	104	5651
109	105	5639
110	106	5631
111	106	5622
112	107	5614
113	108	5608
114	109	5599
115	110	5588
116	110	5578
117	111	5568
118	112	5571
119	113	5567
120	114	5565
121	115	5559
122	116	5553
123	117	5550
124	118	5550
125	119	5549
126	119	5546
127	120	5541
128	121	5535
129	122	5534
130	123	5526
131	124	5520
132	125	5514
133	125	5508
134	127	5519
135	128	5545
136	137	5871
137	139	5912
138	143	6052
139	145	6084
140	146	6102
141	148	6119
142	149	6108
143	149	6098
144	151	6110
145	152	6101
146	152	6090
147	153	6079
148	154	6070
149	155	6083
150	157	6104
151	158	6098
152	159	6098
153	160	6089
154	161	6081
155	162	6072
156	162	6062
157	163	6054
158	164	6045
159	165	6042
160	166	6038
161	167	6029
162	168	6023
163	169	6015
164	169	6004
165	170	5997
166	171	5992
167	172	5990
168	175	6059
169	177	6085
170	179	6102
171	180	6101
172	182	6141
173	183	6135
174	184	6126
175	184	6117
176	185	6110
177	186	6116
178	187	6109
179	188	6102
180	189	6107
181	191	6116
182	192	6119
183	193	6112
184	194	6104
185	195	6105
186	196	6106
187	197	6100
188	198	6092
189	199	6086
190	199	6078
191	200	6076
192	202	6078
193	203	6085
194	204	6094
195	206	6117
196	213	6293
197	216	6344
198	219	6396
199	220	6390
200	221	6386
201	222	6377
202	223	6370
203	223	6364
204	224	6356
205	225	6348
206	226	6338
207	227	6344
208	228	6336
209	230	6345
210	231	6340
211	231	6332
212	233	6349
213	234	6341
214	235	6333
215	236	6324
216	237	6317
217	237	6309
218	238	6302
219	239	6294
220	240	6286
221	241	6277
222	242	6275
223	243	6272
224	244	6282
225	246	6285
226	246	6281
227	248	6281
228	249	6279
229	250	6276
230	251	6268
231	251	6263
232	252	6256
233	253	6249
234	254	6243
235	255	6236
236	256	6229
237	257	6226
238	258	6224
239	259	6225
240	260	6226
241	266	6338
242	267	6348
243	269	6362
244	271	6375
245	272	6372
246	274	6390
247	275	6396
248	277	6399
249	278	6402
250	279	6408
251	281	6412
252	282	6420
253	283	6416
254	284	6408
255	285	6401
256	286	6397
257	287	6394
258	289	6412
259	291	6446
260	293	6449
261	294	6448
262	295	6441
263	296	6437
264	297	6433
265	298	6429
266	299	6426
267	300	6421
268	301	6415
269	302	6409
270	303	6405
271	304	6402
272	304	6395
273	305	6388
274	306	6379
275	307	6371
276	308	6366
277	308	6359
278	309	6351
279	310	6344
280	311	6337
281	312	6329
282	312	6320
283	313	6312
284	314	6305
285	315	6298
286	316	6292
287	317	6292
288	318	6287
289	319	6284
290	320	6282
291	321	6281
292	322	6274
293	322	6266
294	323	6258
295	324	6251
296	325	6245
297	326	6239
298	326	6233
299	327	6225
300	328	6217
301	329	6210
302	330	6210
303	331	6208
304	332	6203
305	333	6197
306	333	6193
307	335	6199
308	336	6194
309	337	6188
310	337	6181
311	338	6174
312	339	6166
313	340	6160
314	340	6153
315	341	6145
316	342	6137
317	343	6129
318	343	6122
319	344	6116
320	345	6114
321	346	6106
322	346	6098
323	347	6090
324	348	6081
325	349	6076
326	350	6081
327	351	6076
328	352	6069
329	352	6061
330	353	6053
331	354	6045
332	354	6037
333	355	6029
334	356	6021
335	356	6012
336	357	6004
337	357	5996
338	358	5988
339	359	5980
340	360	5975
341	360	5967
342	361	5961
343	362	5953
344	362	5946
345	363	5939
346	364	5941
347	366	5945
348	366	5939
349	367	5932
350	368	5925
351	368	5917
352	369	5910
353	370	5903
354	370	5896
355	371	5889
356	372	5882
357	372	5875
358	373	5868
359	374	5865
360	375	5860
361	375	5854
362	376	5847
363	377	5839
364	377	5832
365	378	5825
366	379	5819
367	380	5821
368	381	5819
369	382	5812
370	382	5806
371	383	5799
372	384	5793
373	384	5786
374	385	5779
375	385	5772
376	386	5765
377	387	5759
378	387	5754
379	389	5754
380	389	5749
381	390	5744
382	391	5738
383	391	5732
384	392	5727
385	393	5721
386	394	5716
387	395	5723
388	396	5721
389	397	5715
390	398	5710
391	398	5703
392	399	5697
393	399	5691
394	400	5685
395	401	5679
396	401	5672
397	402	5668
398	403	5664
399	404	5659
400	404	5652
401	405	5647
402	406	5641
403	406	5636
404	407	5631
405	408	5625
406	408	5620
407	410	5624
408	411	5628
409	412	5624
410	413	5619
411	413	5614
412	414	5608
413	415	5601
414	415	5594
415	416	5587
416	416	5580
417	417	5573
418	418	5570
419	418	5564
420	419	5555
421	419	5548
422	420	5542
423	420	5535
424	421	5529
425	422	5522
426	422	5515
427	423	5509
428	423	5502
429	424	5496
430	425	5494
431	425	5490
432	426	5486
433	427	5480
434	427	5474
435	428	5467
436	429	5461
437	429	5455
438	430	5449
439	430	5443
440	431	5437
441	431	5430
442	432	5427
443	433	5422
444	434	5418
445	434	5414
446	435	5409
447	436	5404
448	436	5399
449	437	5395
450	438	5390
451	438	5385
452	439	5381
453	440	5387
454	442	5390
455	443	5387
456	443	5383
457	444	5378
458	445	5374
459	445	5369
460	446	5366
461	447	5362
462	448	5357
463	448	5354
464	449	5349
465	450	5345
466	450	5340
467	451	5336
468	452	5332
469	452	5328
470	453	5324
471	454	5319
472	454	5316
473	456	5320
474	457	5321
475	458	5317
476	458	5312
477	459	5308
478	460	5303
479	460	5300
480	461	5296
481	462	5292
482	462	5288
483	463	5284
484	464	5279
485	465	5276
486	465	5272
487	466	5268
488	467	5264
489	467	5259
490	468	5255
491	469	5251
492	469	5246
493	471	5251
494	472	5254
495	473	5250
496	473	5246
497	474	5243
498	475	5239
499	476	5241
500	477	5237
501	477	5233
502	478	5229
503	479	5225
504	479	5221
505	480	5217
506	481	5213
507	481	5209
508	482	5205
509	483	5201
510	483	5198
511	484	5195
512	486	5200
513	488	5209
514	488	5206
515	489	5205
516	490	5203
517	491	5201
518	492	5200
519	493	5197
520	494	5198
521	495	5194
522	495	5191
523	496	5189
524	497	5188
525	498	5186
526	499	5183
527	499	5180
528	500	5178
529	502	5185
530	503	5187
531	504	5185
532	505	5182
533	506	5180
534	506	5176
535	507	5172
536	508	5168
537	508	5164
538	509	5160
539	510	5157
540	510	5153
541	511	5150
542	512	5147
543	512	5144
544	513	5140
545	514	5136
546	515	5134
547	516	5139
548	518	5145
549	519	5143
550	519	5142
551	520	5141
552	521	5140
553	522	5137
554	523	5133
555	523	5130
556	524	5126
557	525	5122
558	525	5118
559	526	5114
560	527	5111
561	527	5107
562	528	5104
563	529	5100
564	529	5096
565	530	5093
566	531	5095
567	533	5098
568	533	5096
569	534	5093
570	535	5089
571	535	5085
572	536	5082
573	537	5078
574	537	5075
575	538	5072
576	539	5069
577	540	5066
578	540	5062
579	541	5059
580	542	5055
581	542	5052
582	543	5049
583	544	5045
584	544	5042
585	545	5040
586	547	5045
587	548	5050
588	549	5047
589	550	5043
590	550	5040
591	551	5037
592	552	5034
593	552	5031
594	553	5027
